t,x,y,z,q_w,q_x,q_y,q_z
1.10916,0, 0, 0,0,0,0,0
1.11052,0, 0, 0,0,0,0,0
1.11313,0, 0, 0,0,0,0,0
1.11505,0, 0, 0,0,0,0,0
1.11855,0, 0, 0,0,0,0,0
1.12042,0, 0, 0,0,0,0,0
1.1251,0, 0, 0,0,0,0,0
1.12726,0, 0, 0,0,0,0,0
1.13149,0, 0, 0,0,0,0,0
1.13274,0, 0, 0,0,0,0,0
1.13897,0, 0, 0,0,0,0,0
1.14067,0, 0, 0,0,0,0,0
1.14942,0, 0, 0,0,0,0,0
1.19215,0, 0, 0,0,0,0,0
1.19591,0, 0, 0,0,0,0,0
1.19713,0, 0, 0,0,0,0,0
1.20071,0, 0, 0,0,0,0,0
1.2025,0, 0, 0,0,0,0,0
1.20503,0, 0, 0,0,0,0,0
1.20702,0, 0, 0,0,0,0,0
1.2118,0, 0, 0,0,0,0,0
1.21313,0, 0, 0,0,0,0,0
1.21982,0, 0, 0,0,0,0,0
1.22107,0, 0, 0,0,0,0,0
1.22818,0, 0, 0,0,0,0,0
1.23014,0, 0, 0,0,0,0,0
1.23807,0, 0, 0,0,0,0,0
1.28801,0, 0, 0,0,0,0,0
1.29217,0, 0, 0,0,0,0,0
1.29354,0, 0, 0,0,0,0,0
1.29733,0, 0, 0,0,0,0,0
1.29904,0, 0, 0,0,0,0,0
1.3454,0, 0, 0,0,0,0,0
1.34676,0, 0, 0,0,0,0,0
1.35085,0, 0, 0,0,0,0,0
1.35216,0, 0, 0,0,0,0,0
1.35574,0, 0, 0,0,0,0,0
1.35769,0, 0, 0,0,0,0,0
1.36121,0, 0, 0,0,0,0,0
1.36307,0, 0, 0,0,0,0,0
1.36564,0, 0, 0,0,0,0,0
1.36763,0, 0, 0,0,0,0,0
1.37525,0, 0, 0,0,0,0,0
1.37638,0, 0, 0,0,0,0,0
1.38233,0, 0, 0,0,0,0,0
1.38356,0, 0, 0,0,0,0,0
1.3902,0, 0, 0,0,0,0,0
1.39211,0, 0, 0,0,0,0,0
1.43845,0, 0, 0,0,0,0,0
1.43986,0, 0, 0,0,0,0,0
1.44292,0, 0, 0,0,0,0,0
1.44449,0, 0, 0,0,0,0,0
1.44815,0, 0, 0,0,0,0,0
1.45,0, 0, 0,0,0,0,0
1.45362,0, 0, 0,0,0,0,0
1.4548,0, 0, 0,0,0,0,0
1.46185,0, 0, 0,0,0,0,0
1.46355,0, 0, 0,0,0,0,0
1.47163,0, 0, 0,0,0,0,0
1.51975,0, 0, 0,0,0,0,0
1.52261,0, 0, 0,0,0,0,0
1.52422,0, 0, 0,0,0,0,0
1.52787,0, 0, 0,0,0,0,0
1.52985,0, 0, 0,0,0,0,0
1.53691,0, 0, 0,0,0,0,0
1.58024,0, 0, 0,0,0,0,0
1.58472,0, 0, 0,0,0,0,0
1.58671,0, 0, 0,0,0,0,0
1.5894,0, 0, 0,0,0,0,0
1.59123,0, 0, 0,0,0,0,0
1.59566,0, 0, 0,0,0,0,0
1.59679,0, 0, 0,0,0,0,0
1.60032,0, 0, 0,0,0,0,0
1.60224,0, 0, 0,0,0,0,0
1.60673,0, 0, 0,0,0,0,0
1.63163,0, 0, 0,0,0,0,0
1.68175,0, 0, 0,0,0,0,0
1.68316,0, 0, 0,0,0,0,0
1.68616,0, 0, 0,0,0,0,0
1.688,0, 0, 0,0,0,0,0
1.69055,0, 0, 0,0,0,0,0
1.69233,0, 0, 0,0,0,0,0
1.69485,0, 0, 0,0,0,0,0
1.69692,0, 0, 0,0,0,0,0
1.71398,0, 0, 0,0,0,0,0
1.71593,0, 0, 0,0,0,0,0
1.71842,0, 0, 0,0,0,0,0
1.72067,0, 0, 0,0,0,0,0
1.72415,0, 0, 0,0,0,0,0
1.72603,0, 0, 0,0,0,0,0
1.72909,0, 0, 0,0,0,0,0
1.73031,0, 0, 0,0,0,0,0
1.73953,0, 0, 0,0,0,0,0
1.78421,0, 0, 0,0,0,0,0
1.78792,0, 0, 0,0,0,0,0
1.78975,0, 0, 0,0,0,0,0
1.79339,0, 0, 0,0,0,0,0
1.79521,0, 0, 0,0,0,0,0
1.79919,0, 0, 0,0,0,0,0
1.80045,0, 0, 0,0,0,0,0
1.80315,0, 0, 0,0,0,0,0
1.80504,0, 0, 0,0,0,0,0
1.80792,0, 0, 0,0,0,0,0
1.80937,0, 0, 0,0,0,0,0
1.81704,0, 0, 0,0,0,0,0
1.82059,0, 0, 0,0,0,0,0
1.82447,0, 0, 0,0,0,0,0
1.8748,0, 0, 0,0,0,0,0
1.87779,0, 0, 0,0,0,0,0
1.87944,0, 0, 0,0,0,0,0
1.88239,0, 0, 0,0,0,0,0
1.88426,0, 0, 0,0,0,0,0
1.88779,0, 0, 0,0,0,0,0
1.88985,0, 0, 0,0,0,0,0
1.89283,0, 0, 0,0,0,0,0
1.93575,0, 0, 0,0,0,0,0
1.939,0, 0, 0,0,0,0,0
1.94029,0, 0, 0,0,0,0,0
1.94644,0, 0, 0,0,0,0,0
1.94847,0, 0, 0,0,0,0,0
1.95219,0, 0, 0,0,0,0,0
1.95381,0, 0, 0,0,0,0,0
1.95688,0, 0, 0,0,0,0,0
1.95813,0, 0, 0,0,0,0,0
1.9611,0, 0, 0,0,0,0,0
1.96255,0, 0, 0,0,0,0,0
1.97153,0, 0, 0,0,0,0,0
1.97284,0, 0, 0,0,0,0,0
1.97901,0, 0, 0,0,0,0,0
1.98019,0, 0, 0,0,0,0,0
1.98554,0, 0, 0,0,0,0,0
1.98733,0, 0, 0,0,0,0,0
1.99366,0, 0, 0,0,0,0,0
2.03507,0, 0, 0,0,0,0,0
2.03798,0, 0, 0,0,0,0,0
2.03951,0, 0, 0,0,0,0,0
2.04208,0, 0, 0,0,0,0,0
2.04736,0, 0, 0,0,0,0,0
2.05013,0, 0, 0,0,0,0,0
2.05186,0, 0, 0,0,0,0,0
2.05484,0, 0, 0,0,0,0,0
2.0999,0, 0, 0,0,0,0,0
2.1031,0, 0, 0,0,0,0,0
2.1047,0, 0, 0,0,0,0,0
2.10725,0, 0, 0,0,0,0,0
2.10925,0, 0, 0,0,0,0,0
2.11443,0, 0, 0,0,0,0,0
2.11592,0, 0, 0,0,0,0,0
2.11864,0, 0, 0,0,0,0,0
2.12047,0, 0, 0,0,0,0,0
2.12434,0, 0, 0,0,0,0,0
2.1256,0, 0, 0,0,0,0,0
2.13035,0, 0, 0,0,0,0,0
2.13237,0, 0, 0,0,0,0,0
2.14012,0, 0, 0,0,0,0,0
2.14147,0, 0, 0,0,0,0,0
2.14914,0, 0, 0,0,0,0,0
2.15052,0, 0, 0,0,0,0,0
2.15442,0, 0, 0,0,0,0,0
2.15579,0, 0, 0,0,0,0,0
2.16368,0, 0, 0,0,0,0,0
2.1655,0, 0, 0,0,0,0,0
2.17335,0, 0, 0,0,0,0,0
2.17534,0, 0, 0,0,0,0,0
2.17901,0, 0, 0,0,0,0,0
2.18203,0, 0, 0,0,0,0,0
2.2304,0, 0, 0,0,0,0,0
2.23233,0, 0, 0,0,0,0,0
2.23512,0, 0, 0,0,0,0,0
2.23693,0, 0, 0,0,0,0,0
2.24056,0, 0, 0,0,0,0,0
2.24232,0, 0, 0,0,0,0,0
2.24494,0, 0, 0,0,0,0,0
2.24652,0, 0, 0,0,0,0,0
2.25264,0, 0, 0,0,0,0,0
2.25439,0, 0, 0,0,0,0,0
2.26145,0, 0, 0,0,0,0,0
2.30647,0, 0, 0,0,0,0,0
2.31009,0, 0, 0,0,0,0,0
2.31166,0, 0, 0,0,0,0,0
2.31533,0, 0, 0,0,0,0,0
2.31644,0, 0, 0,0,0,0,0
2.36197,0, 0, 0,0,0,0,0
2.36354,0, 0, 0,0,0,0,0
2.36741,0, 0, 0,0,0,0,0
2.36874,0, 0, 0,0,0,0,0
2.3713,0, 0, 0,0,0,0,0
2.37316,0, 0, 0,0,0,0,0
2.37563,0, 0, 0,0,0,0,0
2.37754,0, 0, 0,0,0,0,0
2.38006,0, 0, 0,0,0,0,0
2.38679,0, 0, 0,0,0,0,0
2.39029,0, 0, 0,0,0,0,0
2.39216,0, 0, 0,0,0,0,0
2.39624,0, 0, 0,0,0,0,0
2.39755,0, 0, 0,0,0,0,0
2.40708,0, 0, 0,0,0,0,0
2.40966,0, 0, 0,0,0,0,0
2.41268,0, 0, 0,0,0,0,0
2.41427,0, 0, 0,0,0,0,0
2.4223,0, 0, 0,0,0,0,0
2.47181,0, 0, 0,0,0,0,0
2.47542,0, 0, 0,0,0,0,0
2.47706,0, 0, 0,0,0,0,0
2.48126,0, 0, 0,0,0,0,0
2.48966,0, 0, 0,0,0,0,0
2.49352,0, 0, 0,0,0,0,0
2.53525,0, 0, 0,0,0,0,0
2.53887,0, 0, 0,0,0,0,0
2.5406,0, 0, 0,0,0,0,0
2.54312,0, 0, 0,0,0,0,0
2.54505,0, 0, 0,0,0,0,0
2.54762,0, 0, 0,0,0,0,0
2.54949,0, 0, 0,0,0,0,0
2.55337,0, 0, 0,0,0,0,0
2.55458,0, 0, 0,0,0,0,0
2.56095,0, 0, 0,0,0,0,0
2.56318,0, 0, 0,0,0,0,0
2.56571,0, 0, 0,0,0,0,0
2.56754,0, 0, 0,0,0,0,0
2.57485,0, 0, 0,0,0,0,0
2.57634,0, 0, 0,0,0,0,0
2.58188,0, 0, 0,0,0,0,0
2.58344,0, 0, 0,0,0,0,0
2.58981,0, 0, 0,0,0,0,0
2.63115,0, 0, 0,0,0,0,0
2.63397,0, 0, 0,0,0,0,0
2.63561,0, 0, 0,0,0,0,0
2.63962,0, 0, 0,0,0,0,0
2.64094,0, 0, 0,0,0,0,0
2.64411,0, 0, 0,0,0,0,0
2.64591,0, 0, 0,0,0,0,0
2.64846,0, 0, 0,0,0,0,0
2.65039,0, 0, 0,0,0,0,0
2.65435,0, 0, 0,0,0,0,0
2.65615,0, 0, 0,0,0,0,0
2.66444,0, 0, 0,0,0,0,0
2.66636,0, 0, 0,0,0,0,0
2.67101,0, 0, 0,0,0,0,0
2.71605,0, 0, 0,0,0,0,0
2.72005,0, 0, 0,0,0,0,0
2.72315,0, 0, 0,0,0,0,0
2.72639,0, 0, 0,0,0,0,0
2.72818,0, 0, 0,0,0,0,0
2.73075,0, 0, 0,0,0,0,0
2.73263,0, 0, 0,0,0,0,0
2.73558,0, 0, 0,0,0,0,0
2.7369,0, 0, 0,0,0,0,0
2.74358,0, 0, 0,0,0,0,0
2.74485,0, 0, 0,0,0,0,0
2.75147,0, 0, 0,0,0,0,0
2.75275,0, 0, 0,0,0,0,0
2.7592,0, 0, 0,0,0,0,0
2.76417,0, 0, 0,0,0,0,0
2.76796,0, 0, 0,0,0,0,0
2.8191,0, 0, 0,0,0,0,0
2.82212,0, 0, 0,0,0,0,0
2.82402,0, 0, 0,0,0,0,0
2.82757,0, 0, 0,0,0,0,0
2.82945,0, 0, 0,0,0,0,0
2.83296,0, 0, 0,0,0,0,0
2.83484,0, 0, 0,0,0,0,0
2.83777,0, 0, 0,0,0,0,0
2.882,0, 0, 0,0,0,0,0
2.88566,0, 0, 0,0,0,0,0
2.8876,0, 0, 0,0,0,0,0
2.89087,0, 0, 0,0,0,0,0
2.89213,0, 0, 0,0,0,0,0
2.89562,0, 0, 0,0,0,0,0
2.89753,0, 0, 0,0,0,0,0
2.90061,0, 0, 0,0,0,0,0
2.90182,0, 0, 0,0,0,0,0
2.90442,0, 0, 0,0,0,0,0
2.90626,0, 0, 0,0,0,0,0
2.91286,0, 0, 0,0,0,0,0
2.91415,0, 0, 0,0,0,0,0
2.92074,0, 0, 0,0,0,0,0
2.96311,0, 0, 0,0,0,0,0
2.971,0, 0, 0,0,0,0,0
2.97295,0, 0, 0,0,0,0,0
2.97582,0, 0, 0,0,0,0,0
2.97932,0, 0, 0,0,0,0,0
2.9829,0, 0, 0,0,0,0,0
2.98472,0, 0, 0,0,0,0,0
2.98739,0, 0, 0,0,0,0,0
2.98957,0, 0, 0,0,0,0,0
2.99293,0, 0, 0,0,0,0,0
2.99473,0, 0, 0,0,0,0,0
3.00158,0, 0, 0,0,0,0,0
3.00371,0, 0, 0,0,0,0,0
3.00893,0, 0, 0,0,0,0,0
3.01034,0, 0, 0,0,0,0,0
3.01693,0, 0, 0,0,0,0,0
3.05952,0, 0, 0,0,0,0,0
3.06316,0, 0, 0,0,0,0,0
3.06472,0, 0, 0,0,0,0,0
3.07094,0, 0, 0,0,0,0,0
3.07256,0, 0, 0,0,0,0,0
3.07625,0, 0, 0,0,0,0,0
3.0781,0, 0, 0,0,0,0,0
3.08102,0, 0, 0,0,0,0,0
3.08255,0, 0, 0,0,0,0,0
3.0851,0, 0, 0,0,0,0,0
3.08703,0, 0, 0,0,0,0,0
3.08979,0, 0, 0,0,0,0,0
3.09173,0, 0, 0,0,0,0,0
3.09905,0, 0, 0,0,0,0,0
3.10064,0, 0, 0,0,0,0,0
3.10653,0, 0, 0,0,0,0,0
3.10834,0, 0, 0,0,0,0,0
3.11411,0, 0, 0,0,0,0,0
3.1161,0, 0, 0,0,0,0,0
3.12212,0, 0, 0,0,0,0,0
3.16736,0, 0, 0,0,0,0,0
3.17225,0, 0, 0,0,0,0,0
3.17413,0, 0, 0,0,0,0,0
3.17737,0, 0, 0,0,0,0,0
3.17912,0, 0, 0,0,0,0,0
3.18255,0, 0, 0,0,0,0,0
3.18435,0, 0, 0,0,0,0,0
3.18692,0, 0, 0,0,0,0,0
3.18905,0, 0, 0,0,0,0,0
3.19579,0, 0, 0,0,0,0,0
3.19704,0, 0, 0,0,0,0,0
3.20358,0, 0, 0,0,0,0,0
3.20484,0, 0, 0,0,0,0,0
3.21151,0, 0, 0,0,0,0,0
3.21272,0, 0, 0,0,0,0,0
3.2192,0, 0, 0,0,0,0,0
3.22045,0, 0, 0,0,0,0,0
3.22693,0, 0, 0,0,0,0,0
3.2287,0, 0, 0,0,0,0,0
3.23495,0, 0, 0,0,0,0,0
3.27982,0, 0, 0,0,0,0,0
3.2841,0, 0, 0,0,0,0,0
3.28538,0, 0, 0,0,0,0,0
3.28947,0, 0, 0,0,0,0,0
3.29067,0, 0, 0,0,0,0,0
3.29367,0, 0, 0,0,0,0,0
3.29546,0, 0, 0,0,0,0,0
3.29888,0, 0, 0,0,0,0,0
3.34335,0, 0, 0,0,0,0,0
3.34756,0, 0, 0,0,0,0,0
3.34869,0, 0, 0,0,0,0,0
3.35122,0, 0, 0,0,0,0,0
3.35315,0, 0, 0,0,0,0,0
3.35714,0, 0, 0,0,0,0,0
3.35851,0, 0, 0,0,0,0,0
3.36553,0, 0, 0,0,0,0,0
3.36808,0, 0, 0,0,0,0,0
3.372,0, 0, 0,0,0,0,0
3.416,0, 0, 0,0,0,0,0
3.41878,0, 0, 0,0,0,0,0
3.42083,0, 0, 0,0,0,0,0
3.42429,0, 0, 0,0,0,0,0
3.42614,0, 0, 0,0,0,0,0
3.42878,0, 0, 0,0,0,0,0
3.43065,0, 0, 0,0,0,0,0
3.43472,0, 0, 0,0,0,0,0
3.48101,0, 0, 0,0,0,0,0
3.48492,0, 0, 0,0,0,0,0
3.48617,0, 0, 0,0,0,0,0
3.48864,0, 0, 0,0,0,0,0
3.49057,0, 0, 0,0,0,0,0
3.4931,0, 0, 0,0,0,0,0
3.4949,0, 0, 0,0,0,0,0
3.50188,0, 0, 0,0,0,0,0
3.50352,0, 0, 0,0,0,0,0
3.5095,0, 0, 0,0,0,0,0
3.51331,0, 0, 0,0,0,0,0
